strikePrice,expiryDate,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,CE.openInterest,CE.changeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,timestamp
16100,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16100.00,26537.0,-3103.0,281247.0,29.96,4.4,-26.0,215950.0,93450.0,850.0,4.4,7850.0,4.5,195.0,-70.0,354.0,37.95,694.05,138.5,35700.0,20300.0,200.0,695.9,50.0,701.7,21-Dec-2021 15:30:00
16150,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16150.00,7518.0,2427.0,91271.0,28.73,5.0,-29.35,170500.0,52300.0,50.0,4.45,700.0,5.0,41.0,-3.0,16.0,35.39,643.5,135.05,23750.0,22800.0,100.0,646.1,2950.0,664.5,21-Dec-2021 15:30:00
16200,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16200.00,37788.0,3453.0,444542.0,27.05,5.25,-33.25,287500.0,171900.0,250.0,5.25,1200.0,5.9,495.0,30.0,1002.0,36.55,600.0,137.95,34200.0,23000.0,200.0,596.9,50.0,602.3,21-Dec-2021 15:30:00
16250,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16250.00,10796.0,-5461.0,158989.0,24.88,5.0,-37.7,216950.0,79950.0,950.0,5.0,50.0,6.95,712.0,-10.0,155.0,30.34,542.5,125.14999999999998,31750.0,25550.0,100.0,547.95,150.0,555.15,21-Dec-2021 15:30:00
16300,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16300.00,49970.0,15696.0,556710.0,25.41,8.25,-41.65,267100.0,212450.0,100.0,8.15,2600.0,8.25,1775.0,-491.0,4480.0,32.97,502.9,130.95,38050.0,30050.0,100.0,500.25,50.0,503.75,21-Dec-2021 15:30:00
16350,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16350.00,14476.0,6121.0,236070.0,24.41,10.1,-47.65,230850.0,102450.0,100.0,9.9,100.0,11.65,600.0,-196.0,976.0,30.94,454.15,123.64999999999998,73400.0,26450.0,50.0,452.5,100.0,460.3,21-Dec-2021 15:30:00
16400,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16400.00,45954.0,6479.0,761728.0,23.97,13.65,-53.1,410400.0,269350.0,100.0,13.65,3250.0,14.5,2281.0,-3510.0,16900.0,30.63,410.55,121.25,90050.0,24200.0,100.0,406.05,150.0,411.35,21-Dec-2021 15:30:00
16450,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16450.00,11463.0,-1441.0,340238.0,23.43,18.05,-60.35000000000001,276600.0,85400.0,700.0,18.05,100.0,18.85,1325.0,-765.0,4324.0,27.89,360.55,110.05000000000001,70200.0,27450.0,750.0,360.7,100.0,365.4,21-Dec-2021 15:30:00
16500,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16500.00,64392.0,7263.0,1384977.0,22.71,23.25,-68.2,464400.0,509550.0,800.0,23.25,4750.0,24.0,8626.0,-18423.0,97223.0,27.3,318.0,103.30000000000001,146850.0,42200.0,750.0,316.05,500.0,318.0,21-Dec-2021 15:30:00
16550,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16550.00,15505.0,6799.0,436862.0,22.03,30.05,-77.35000000000001,276850.0,95350.0,1500.0,30.0,1550.0,30.95,1341.0,-3698.0,25448.0,26.39,275.9,95.39999999999998,68200.0,25250.0,950.0,272.4,200.0,278.25,21-Dec-2021 15:30:00
16600,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16600.00,40137.0,-8063.0,1296659.0,21.79,40.5,-85.3,396550.0,237700.0,9700.0,40.0,50.0,40.75,8779.0,-34726.0,216751.0,25.83,236.95,88.29999999999998,131200.0,40550.0,50.0,233.25,100.0,236.9,21-Dec-2021 15:30:00
16650,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16650.00,10776.0,5661.0,557187.0,20.83,50.6,-96.0,298200.0,89150.0,50.0,52.05,100.0,52.15,2290.0,-7874.0,96140.0,24.32,196.0,75.45,109250.0,32350.0,50.0,195.1,50.0,199.0,21-Dec-2021 15:30:00
16700,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16700.00,52032.0,12146.0,1931808.0,20.29,65.3,-105.39999999999999,373300.0,254600.0,500.0,66.05,1450.0,66.95,33745.0,-39014.0,774048.0,23.71,161.45,66.35,491700.0,84450.0,1500.0,160.05,100.0,161.45,21-Dec-2021 15:30:00
16750,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16750.00,13176.0,9721.0,806942.0,19.86,84.0,-116.6,253400.0,97000.0,1950.0,84.0,750.0,85.45,7562.0,-5625.0,445092.0,23.32,131.0,57.2,168300.0,59150.0,50.0,129.25,300.0,131.0,21-Dec-2021 15:30:00
16800,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16800.00,44607.0,30457.0,2063628.0,18.99,104.4,-127.75,782000.0,176200.0,450.0,104.4,1500.0,106.25,52043.0,-23767.0,2097771.0,22.13,100.0,44.1,294650.0,207950.0,50.0,100.0,4250.0,102.0,21-Dec-2021 15:30:00
16850,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16850.00,6025.0,3821.0,572056.0,18.29,130.0,-139.10000000000002,222450.0,42100.0,500.0,130.0,1350.0,132.0,12461.0,-10782.0,892556.0,21.74,76.5,34.3,195500.0,106100.0,950.0,75.55,1150.0,77.0,21-Dec-2021 15:30:00
16900,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16900.00,19401.0,5674.0,1122535.0,18.01,161.95,-145.85000000000002,280250.0,65950.0,1850.0,160.0,1500.0,161.95,49999.0,-429.0,2206789.0,21.33,56.7,24.950000000000003,352150.0,335900.0,250.0,55.9,250.0,56.7,21-Dec-2021 15:30:00
16950,23-Dec-2021,OPTIDXNIFTY23-12-2021PE16950.00,3116.0,294.0,187251.0,16.91,195.0,-155.8,249650.0,23250.0,50.0,195.0,200.0,197.3,17137.0,6235.0,780835.0,20.94,40.6,16.450000000000003,321450.0,144450.0,250.0,40.6,1750.0,41.0,21-Dec-2021 15:30:00
17000,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17000.00,31413.0,-8257.0,459064.0,15.14,231.3,-164.84999999999997,298350.0,80350.0,300.0,231.5,1500.0,234.95,107284.0,-32007.0,2502281.0,20.86,29.0,10.3,572150.0,562450.0,50.0,28.4,7500.0,29.0,21-Dec-2021 15:30:00
